	Alphitonia.philippinensis	Berchemia.floribunda	Berchemia.giraldiana	Berchemia.hirtella	Berchemia.huana	Berchemia.kulingensis	Berchemia.lineata	Berchemia.loureiroana	Berchemia.sinica	Berchemia.yunnanensis	Ceanothus.asiaticus	Colubrina.arborescens	Colubrina.asiatica	Colubrina.pubescens	Colubrina.spinosa	Gouania.leptostachya	Guoania.javanica	Gouania.hypoglauca	Gouania.polygama	Hovenia.acerba	Hovenia.acerba var. kiukiangensis	Karwinskia.calderonii	Krugiodendron.ferreum	Paliurus.perforatus	Rhamnella.franguloides	Rhamnella.tonkinensis	Rhamnus.crenata	Rhamnus.davurica	Rhamnus.diamantiaca	Rhamnus.erythroxylon	Rhamnus.globosa	Rhamnus.hainanensis	Rhamnus.koraiensis	Rhamnus.leptophylla	Rhamnus.longipes	Rhamnus.napalensis	Rhamnus.oreodendron	Rhamnus.parvifolia	Rhamnus.rosthornii	Rhamnus.sphaerosperma	Rhamnus.subapetala	Rhamnus.utilis	Sageretia.pauciflora	Sageretia.thea	Scutia.eberhardtia	Scutia.myrtina	Ventilago.calyculata	Ventilago.calyculata var. trichoclada	Ventilago.cristata	Ventilago.denticulate	Ventilago.inaequilateralis	Ventilago.leiocarpa	Ventilago.leiocarpa var. pubescens	Ventilago.maderaspatana	Ventilago.oblongifolia	Ventilago.pauciflora	Ziziphus.apetala	Ziziphus.attopensis	Ziziphus.cambodiana	Ziziphus.funiculosa	Ziziphus.guatemalensis	Ziziphus.horsfieldii	Ziziphus.incurva	Ziziphus.mauritiana	Ziziphus.oenopolia	Ziziphus.poilaneo	Ziziphus.rotundifolia	Ziziphus.rugosa	Ziziphus.rugosa var. harmandii	Ziziphus.thyrsiflora
Alphitonia.philippinensis	0	0.366050663795466	0.36953819642662	0.42653048307903	0.43261312989922	0.382141979488973	0.307980452261417	0.474092082457795	0.390092154267554	0.614064915793133	0.475528911299537	0.532244572335178	0.180341887777376	0.266613590870075	0.337316409043891	0.180151773959147	0.217016569061416	0.120647667150024	0.248503422488775	0.203922872134635	0.323278158616022	0.568366246173099	0.311270613410573	0.604707792441687	0.47713995558124	0.346194144303875	0.324649769344217	0.481078569960305	0.405703136273626	0.624417937151636	0.446219092538599	0.431236986385742	0.493295776106308	0.5983133333588	0.549077680171316	0.347891284165218	0.344253475457944	0.327985743994898	0.347266839470867	0.343087602111937	0.412985927545555	0.382340963218976	0.368570680476639	0.364024899527866	0.226050192146157	0.417864275080788	0.504754345019482	0.433061268019754	0.441815674122212	0.448033078341504	0.475755143670194	0.414716573076296	0.489594276710296	0.524535416637749	0.454406946478274	0.461920577152983	0.233040937158387	0.281147079665949	0.300887560370887	0.575617863083378	0.133199041342505	0.293224168576217	0.274617379742804	0.186252518896856	0.311942498369588	0.319091766558478	0.141409822997437	0.217793444654459	0.351685065110802	0.19573616392698
Berchemia.floribunda	0.366050663795466	0	0.0251743599151761	0.243385607408979	0.133928913010623	0.0433948739994353	0.20081179517546	0.133373262044435	0.120853241238244	0.281246832366751	0.328009966146708	0.197108029903516	0.236926363814021	0.0926262902807449	0.600887997580799	0.446236622502206	0.294995291197933	0.359587505943016	0.490722252258583	0.223084063502527	0.211512652945824	0.208391801080503	0.286706574774094	0.264190246597462	0.128118909321562	0.0769653635565573	0.052677996499258	0.142838290050873	0.268995185382749	0.369007769150215	0.123767659399642	0.28392140798298	0.169732299019085	0.257870807453926	0.239969198900833	0.0487469720994625	0.0445231250373616	0.188736552333786	0.173027347535076	0.197357493682971	0.268717359698109	0.0686007057578009	0.0875808093507519	0.0675002038786356	0.327468369383348	0.114567238629113	0.244837208457802	0.123065494437751	0.304818617964898	0.138004621187372	0.199299413560288	0.117665339735446	0.223940639978363	0.200352545683651	0.190932174890678	0.287622670834778	0.359825243873378	0.212972189619161	0.12173883023108	0.331555591008643	0.379589378373941	0.365394159151672	0.436486556091684	0.206705902451521	0.0788103439028122	0.176428808504655	0.22485800832256	0.254495421407728	0.22540099016081	0.263646943725178
Berchemia.giraldiana	0.36953819642662	0.0251743599151761	0	0.228859520356897	0.134215138991684	0.0423183881174959	0.230518123658599	0.128275151298531	0.129092281324224	0.282377838873392	0.322455716060227	0.208505728311029	0.229884336842969	0.0870350381585335	0.603713797813361	0.446528996447902	0.29769111925607	0.357274913827357	0.505477034398958	0.231085592397545	0.221429484345657	0.214941559116337	0.2878888752724	0.276835009116416	0.132915831805014	0.0777387516297886	0.0639124706185754	0.140489230666632	0.280230862673736	0.346807202680645	0.142518524967967	0.306559656362272	0.188210260425651	0.264346432661332	0.241750863346278	0.0737784331918682	0.0780718767891955	0.2132993527344	0.20609655148282	0.247485451537093	0.299311815920157	0.0860477798702017	0.107532336691055	0.103230875251205	0.34298018638364	0.114194695689009	0.25946409941351	0.154605471717768	0.315857584609242	0.161152858980517	0.221601339390089	0.13893216009336	0.24062485209332	0.198569610566095	0.205890427683337	0.305086940697776	0.370188456294138	0.227771984013927	0.122412467068495	0.363270719426166	0.38761978437192	0.376067657584325	0.434827626314525	0.214356294224956	0.0734571001545002	0.188656946473723	0.228521673842623	0.257245202978537	0.232581015846849	0.288608172110741
Berchemia.hirtella	0.42653048307903	0.243385607408979	0.228859520356897	0	0.246266751760789	0.285256093631145	0.314123424321311	0.226245214526216	0.346156565356225	0.437376204472231	0.43898424631893	0.379735412110697	0.380845971140381	0.260629466967822	0.659640697399531	0.512213935319611	0.419122902340334	0.476940388797265	0.606644235182089	0.39020107635245	0.456835007621029	0.317271990819172	0.471956365899369	0.491721061011204	0.270980255171539	0.216866882278536	0.177353565649356	0.191684052479474	0.268642215474344	0.289694417958134	0.272151078950275	0.328415486525032	0.326941942709795	0.39052352135124	0.306977989178007	0.25691448064697	0.233137222333935	0.182645213687427	0.331813504829884	0.302251379213102	0.281574017990429	0.169016835094057	0.225208812623111	0.29789203664712	0.488192494603877	0.175720743499539	0.373561873611687	0.279407931852168	0.342355373529034	0.285747275273934	0.327175510189348	0.201661265783498	0.350690743157463	0.317526303153335	0.347242781009081	0.379255349915094	0.525236937221397	0.399164294549762	0.356368472149485	0.570417738974719	0.493369875338816	0.493601075398856	0.612734040165133	0.379472471987709	0.272856469943261	0.288910287730555	0.364400142763747	0.401080548067117	0.228166716408839	0.413996447870039
Berchemia.huana	0.43261312989922	0.133928913010623	0.134215138991684	0.246266751760789	0	0.121538699686699	0.312641175435756	0.0349829889184293	0.119286295682922	0.188458154090619	0.398301165692392	0.327640021803077	0.308883238991005	0.179053225946752	0.635189131744535	0.488804274939913	0.338721558960287	0.401712698184072	0.546940835085275	0.309181143463076	0.243381982746763	0.157205490503198	0.323305121359503	0.252415779880986	0.0422723674860305	0.101071396651864	0.169435702591465	0.0608443485025084	0.161536224794953	0.340205575298061	0.052842383792075	0.180038277302614	0.0944618926681164	0.182227217626142	0.166696425853844	0.196204495376484	0.151977388326166	0.167343434908731	0.304657802374404	0.212672820173301	0.187152805654383	0.096900843403335	0.0771018767121742	0.202113846545632	0.379964772005619	0.0369533687142319	0.133304569434123	0.069873167408668	0.193871542049578	0.0310056719750686	0.0930304357782354	0.0586445610468888	0.110661123660539	0.0913757289478085	0.0627720712973254	0.169317791703622	0.387729442699257	0.269413875527525	0.194043606158453	0.215462438520511	0.430202673366154	0.428315580682132	0.464483961067552	0.301482298083581	0.160039875944899	0.185382990533612	0.313184559444755	0.297288476576086	0.135083474919578	0.340956791267934
Berchemia.kulingensis	0.382141979488973	0.0433948739994353	0.0423183881174959	0.285256093631145	0.121538699686699	0	0.248958864833169	0.127284700508567	0.0800149190887975	0.290745950326224	0.334905556004686	0.261494022086258	0.235400685021035	0.0994385606218859	0.590519326903698	0.432222440957395	0.25875966912523	0.336009215549887	0.484790951990723	0.226948897630304	0.158581066887656	0.25797918474778	0.237345207693091	0.227031916476036	0.126092135944995	0.0602239108335609	0.0871100789836271	0.167437427620654	0.256696275271987	0.412862766988547	0.114913965240465	0.273020144688835	0.183388994140567	0.271169646015684	0.261192804775829	0.107970920745798	0.0891997231602265	0.212266953386441	0.232726093542727	0.228256092331542	0.276005650112993	0.112948949239313	0.0954721879156939	0.117466398246622	0.307833462360629	0.10769058931077	0.224665102373672	0.122519996168998	0.283401922638875	0.138006965623622	0.19011187068866	0.141310368442632	0.210497023081357	0.192191003015656	0.16689503020041	0.259129711850154	0.314327253096737	0.185652459934963	0.106434501256623	0.298105880771334	0.370353571185897	0.356476535264258	0.406626723378817	0.224515558925433	0.0676712676353282	0.157272256188702	0.239905092233347	0.226307237214851	0.210769763367792	0.26593392488479
Berchemia.lineata	0.307980452261417	0.20081179517546	0.230518123658599	0.314123424321311	0.312641175435756	0.248958864833169	0	0.357269136075188	0.28042220340991	0.511178250813572	0.386152048002688	0.306843942373901	0.270457583672502	0.15372377843296	0.547778684340862	0.400189808484484	0.223801984564832	0.288583058960555	0.457227071795229	0.267571593875221	0.267476986595536	0.511656918048284	0.229693024913172	0.522208442504532	0.38275683567943	0.215525189312845	0.137339002274607	0.372904545861912	0.280309994166153	0.51976810353726	0.306613823501867	0.297194282731696	0.360448369200016	0.487018437660472	0.463634641790163	0.214602930269923	0.178590378347947	0.178659678572558	0.244533178002004	0.194268136618135	0.254620177765624	0.24953554719579	0.24481484860875	0.177220409544774	0.294055464270992	0.29356928825396	0.401030009841904	0.249540200251015	0.339655608160413	0.308485698157921	0.342316197291168	0.293033792890004	0.377710300830471	0.411455035248727	0.328757871408032	0.356259910861494	0.348222240644338	0.193189543690962	0.204085048734244	0.499671398563622	0.339887766033754	0.28380567557922	0.434812254856518	0.28593885886768	0.169440508282262	0.17785195788622	0.259544457412512	0.213354079178964	0.234876607052793	0.205081940327435
Berchemia.loureiroana	0.474092082457795	0.133373262044435	0.128275151298531	0.226245214526216	0.0349829889184293	0.127284700508567	0.357269136075188	0	0.148342661368309	0.184738236600817	0.415952552082682	0.313365487145971	0.337414000091558	0.206307253048833	0.66743000647646	0.524474944230866	0.381297966893958	0.455223135583942	0.591653207186792	0.336667922025395	0.276756348507064	0.124316505612032	0.378452717533244	0.220102775952036	0.0311987047795058	0.118745707712236	0.185793623575968	0.0515317705287506	0.225951090045957	0.307119498343393	0.053196406793161	0.237064224562398	0.101030115911612	0.169629340733995	0.153195759326662	0.198221064034672	0.167880092747386	0.22175298116694	0.309832916390577	0.270531473709038	0.245762083907191	0.0969765828881151	0.0986380021000336	0.225887921660151	0.433215737939485	0.0418320987258969	0.152793353886605	0.0907429633681917	0.255662526302951	0.0494994237125485	0.105819497786489	0.0586358986726182	0.131816602304857	0.0853692901749048	0.0954101326925291	0.219573973392029	0.427421216859295	0.323749819905725	0.211559593188643	0.248546156459816	0.474850092248773	0.488872320301688	0.502394535234019	0.303391141667231	0.168145844200484	0.246506685441746	0.325850305684626	0.352845609398693	0.19893417901293	0.396251896268996
Berchemia.sinica	0.390092154267554	0.120853241238244	0.129092281324224	0.346156565356225	0.119286295682922	0.0800149190887975	0.28042220340991	0.148342661368309	0	0.314554482861382	0.35770138173724	0.401884887029734	0.262106401453864	0.137486087035933	0.603747369772392	0.440068375561345	0.265491721588163	0.340238453006299	0.487462206415038	0.260237532676371	0.15124334268145	0.305099409836088	0.213472063799487	0.240092693015867	0.138658240677293	0.0442354912938663	0.167709881564901	0.207358619010082	0.20597897382153	0.511146662646024	0.100129168614148	0.212153505824405	0.183771822754651	0.309685407791148	0.292615260342107	0.182156486598741	0.133742454947367	0.172425965991133	0.285080467290202	0.148926190083424	0.233795066143022	0.134041133635855	0.0761456010684881	0.194725444427922	0.304814285721696	0.130518961898438	0.19889804470415	0.113296754938279	0.222179125272638	0.114761169529945	0.167593929321503	0.130407519402528	0.17699513044681	0.212643668760583	0.128352668698986	0.194090002449037	0.295461743724159	0.171816569171595	0.154823276023966	0.234318327645249	0.37122974583003	0.393760620990102	0.427741354125394	0.2890452097422	0.126293167732651	0.101583128319157	0.297911661787447	0.221541209299536	0.156262329636115	0.272436190436601
Berchemia.yunnanensis	0.614064915793133	0.281246832366751	0.282377838873392	0.437376204472231	0.188458154090619	0.290745950326224	0.511178250813572	0.184738236600817	0.314554482861382	0	0.548415710987459	0.389578332560513	0.480221284041419	0.373862216196303	0.767670101917582	0.645337935553099	0.550417826357219	0.591889288692087	0.710546344586203	0.495636017541942	0.440941171028521	0.234311459547259	0.543932360494497	0.386648107349472	0.202899915591736	0.306291778737057	0.340927202655947	0.183832808693964	0.351598970137365	0.315740912081025	0.231257335435141	0.358382305593005	0.263341723102238	0.15786039573222	0.0712461354925112	0.347753692280173	0.332636847035026	0.418067273813506	0.440162762554062	0.448935591767214	0.364911440792274	0.258679115946695	0.281440717770584	0.369859773707516	0.592983704710809	0.230909102481091	0.14671327764586	0.251055767027487	0.315609773937387	0.209441141061198	0.190543177681658	0.239381752028205	0.155530379856372	0.11168549603449	0.220818322880588	0.285831380633698	0.578750019046285	0.506190192043014	0.376620273406029	0.272722843417564	0.611448865594413	0.618686946503828	0.598095346866565	0.44334643187491	0.350273931128323	0.427739694406752	0.470989050818928	0.516288206091268	0.398343474924408	0.559049264838714
