	20160321-JWFH8-1.P1-A-11.01.33782	20160321-JWFH9-1.P1-A-12.01.33785	20160321-JWFH10-1.P1-B-1.01.33790	20160321-JWGZ3-1.P1-B-10.01.33825	20160321-JWGZ4-1.P1-B-11.01.33830	20160321-JWGZ5-1.P1-B-12.01.33833	20160321-JWFH11-1.P1-B-2.01.33793	20160321-JWFH12-1.P1-B-3.01.33798	20160321-JWFH13-1.P1-B-4.01.33801	20160321-JWFH14-1.P1-B-5.01.33806	20160321-JWFH15-1.P1-B-6.01.33809	20160321-JWFH16-1.P1-B-7.01.33814	20160321-JWGZ1-1.P1-B-8.01.33817	20160321-JWGZ2-1.P1-B-9.01.33822	20160321-JWGZ6-1.P1-C-1.01.33838	20160321-JWGZ7-1.P1-C-2.01.33841	20160321-JWGZ8-1.P1-C-3.01.33848	20160321-JWGZ9-1.P1-C-4.01.33851	20160321-JWGZ10-1.P1-C-5.01.33856	20160321-JWGZ11-1.P1-C-6.01.33859	20160321-JWGZ12-1.P1-C-7.01.33864	20160321-JWGZ13-1.P1-C-8.01.33867	20160321-JWPre1-1.P1-F-1.01.33741	20160321-JWFH7-1.P1-F-10.01.33776	20160321-JWPre2-1.P1-F-2.01.33744	20160321-JWPre3-1.P1-F-3.01.33749	20160321-JWFH1-1.P1-F-4.01.33752	20160321-JWFH2-1.P1-F-5.01.33757	20160321-JWFH3-1.P1-F-6.01.33760	20160321-JWFH4-1.P1-F-7.01.33765	20160321-JWFH5-1.P1-F-8.01.33768	20160321-JWFH6-1.P1-F-9.01.33773	20160321-JWPre1-2.P2-A-1.01.33742	20160321-JWFH7-2.P2-A-10.01.33777	20160321-JWFH8-2.P2-A-11.01.33783	20160321-JWFH9-2.P2-A-12.01.33786	20160321-JWPre2-2.P2-A-2.01.33745	20160321-JWPre3-2.P2-A-3.01.33750	20160321-JWFH1-2.P2-A-4.01.33753	20160321-JWFH2-2.P2-A-5.01.33758	20160321-JWFH3-2.P2-A-6.01.33761	20160321-JWFH4-2.P2-A-7.01.33766	20160321-JWFH5-2.P2-A-8.01.33769	20160321-JWFH6-2.P2-A-9.01.33774	20160321-JWFH10-2.P2-B-1.01.33791	20160321-JWGZ3-2.P2-B-10.01.33826	20160321-JWGZ4-2.P2-B-11.01.33831	20160321-JWGZ5-2.P2-B-12.01.33834	20160321-JWFH11-2.P2-B-2.01.33794	20160321-JWFH12-2.P2-B-3.01.33799	20160321-JWFH13-2.P2-B-4.01.33802	20160321-JWFH14-2.P2-B-5.01.33807	20160321-JWFH15-2.P2-B-6.01.33810	20160321-JWFH16-2.P2-B-7.01.33815	20160321-JWGZ1-2.P2-B-8.01.33818	20160321-JWGZ2-2.P2-B-9.01.33823	20160321-JWGZ6-2.P2-C-1.01.33839	20160321-JWGZ7-2.P2-C-2.01.33842	20160321-JWGZ8-2.P2-C-3.01.33849	20160321-JWGZ9-2.P2-C-4.01.33852	20160321-JWGZ10-2.P2-C-5.01.33857	20160321-JWGZ11-2.P2-C-6.01.33860	20160321-JWGZ12-2.P2-C-7.01.33865	20160321-JWGZ13-2.P2-C-8.01.33868	20160321-JWPre1-3.P2-D-1.01.33743	20160321-JWFH7-3.P2-D-10.01.33778	20160321-JWFH8-3.P2-D-11.01.33784	20160321-JWFH9-3.P2-D-12.01.33787	20160321-JWPre2-3.P2-D-2.01.33746	20160321-JWPre3-3.P2-D-3.01.33751	20160321-JWFH1-3.P2-D-4.01.33754	20160321-JWFH2-3.P2-D-5.01.33759	20160321-JWFH3-3.P2-D-6.01.33762	20160321-JWFH4-3.P2-D-7.01.33767	20160321-JWFH5-3.P2-D-8.01.33770	20160321-JWFH6-3.P2-D-9.01.33775	20160321-JWFH10-3.P2-E-1.01.33792	20160321-JWGZ3-3.P2-E-10.01.33827	20160321-JWGZ4-3.P2-E-11.01.33832	20160321-JWGZ5-3.P2-E-12.01.33835	20160321-JWFH11-3.P2-E-2.01.33795	20160321-JWFH16-3.P2-E-2.01.33816	20160321-JWFH12-3.P2-E-3.01.33800	20160321-JWFH13-3.P2-E-4.01.33803	20160321-JWFH14-3.P2-E-5.01.33808	20160321-JWFH15-3.P2-E-6.01.33811	20160321-JWGZ1-3.P2-E-8.01.33819	20160321-JWGZ2-3.P2-E-9.01.33824	20160321-JWGZ6-3.P2-F-1.01.33840	20160321-JWGZ7-3.P2-F-2.01.33843	20160321-JWGZ8-3.P2-F-3.01.33850	20160321-JWGZ9-3.P2-F-4.01.33853	20160321-JWGZ10-3.P2-F-5.01.33858	20160321-JWGZ11-3.P2-F-6.01.33861	20160321-JWGZ12-3.P2-F-7.01.33866	20160321-JWGZ13-3.P2-F-8.01.33869
20160321-JWFH8-1.P1-A-11.01.33782	0	0.299223116199058	0.191233262431246	0.293364468669278	0.3429999846635	0.407416723313262	0.317335950750744	0.282069661759244	0.233248352973924	0.316822703386357	0.30407856204032	0.285548534110986	0.331569864744534	0.401846536699689	0.346299162205243	0.383603244245344	0.381958719830285	0.421278348484316	0.346469535208142	0.366377784013494	0.419211128985226	0.363172116097148	0.504934722694337	0.875220059978501	0.36923462534535	0.405460798427104	0.338559532367814	0.315801515137579	0.304818101646761	0.296966060410405	0.298843181626024	0.316340103573362	0.405071908098679	0.270436506927761	0.234520037368139	0.164024486070038	0.30846938163048	0.444232047351245	0.307770087310434	0.294050524477815	0.265575358724432	0.272200630653246	0.337661832697459	0.263859578091324	0.286682233918394	0.326192628490628	0.362197110628365	0.408046676159833	0.276542610573698	0.295271359041117	0.279073824112959	0.301052111052817	0.312885290363345	0.288111295748927	0.341879340343421	0.314472634055957	0.415768490905936	0.35288630843558	0.364957889110379	0.347946144101971	0.307549163854546	0.39066653295721	0.286473382673202	0.381941076326605	0.38166245893187	0.33150154196993	0.285662340897947	0.320381050636382	0.330631964873847	0.498283947585898	0.315212942888176	0.294122178212256	0.288310458603546	0.26437171191831	0.304999891499497	0.294845544334553	0.307421452455098	0.470383102841173	0.379705714802251	0.393991563752022	0.269408059589833	0.269441039548312	0.26790358493288	0.284868706895916	0.292719350311721	0.294352923850028	0.368320350315693	0.32350525372774	0.377359248733822	0.348277314867685	0.317252484909861	0.292926729187385	0.33335185887559	0.271895723846966	0.337265986670321	0.349644505881047
20160321-JWFH9-1.P1-A-12.01.33785	0.299223116199058	0	0.253854702319091	0.219218397580216	0.269086442578497	0.369089070631903	0.21317725782276	0.201539793326363	0.211421070667384	0.22821736769502	0.227465127742434	0.226062015570709	0.253818090211916	0.311607348853748	0.308794853702271	0.290676529707853	0.285602102307657	0.318162060514875	0.324266890097297	0.316489084136128	0.347594315398308	0.297196841528409	0.468175131589356	0.870927238278442	0.308535584066148	0.352593083813338	0.253142795056	0.237890463147879	0.197882494874079	0.196567490565509	0.233618196924562	0.288048832600252	0.386949125128095	0.16331746020627	0.175906342615623	0.305743877635511	0.28455580484961	0.38713744181403	0.227165581633236	0.180695380212345	0.22125739618872	0.225450558562517	0.26186537172159	0.24627542905736	0.200545084273748	0.247090327188949	0.300035896435911	0.348109587440019	0.239471662078835	0.199468697478119	0.180262821596148	0.211172236223322	0.233682449155688	0.228670463879559	0.2617622366613	0.219091080046538	0.317397904479269	0.271025751355959	0.277464074108497	0.291431024911075	0.294007856525855	0.355920612021077	0.215181687923249	0.30481462163884	0.384887069398806	0.180674107219245	0.238382594714968	0.176962053262942	0.285092520115937	0.440625492630029	0.260768143908544	0.198902525484112	0.241059005818136	0.257365162892825	0.238939262918906	0.237982525502461	0.258538222832659	0.378728017646235	0.312776078207521	0.332306434094527	0.181717683443938	0.176626418005147	0.19701823703674	0.223385655620206	0.226057238657566	0.252208574566769	0.265724070223803	0.23490715213116	0.280714579657466	0.275795760212192	0.216723082037941	0.273873170348107	0.286011472837563	0.219643835949455	0.286155979542593	0.31314643041427
20160321-JWFH10-1.P1-B-1.01.33790	0.191233262431246	0.253854702319091	0	0.268127860613231	0.3020972394348	0.394461778164657	0.2626361574867	0.252040126611773	0.233053528241641	0.267071380110594	0.235776875029746	0.255982471803046	0.284238760619114	0.351477614663791	0.32239723315329	0.3279013314907	0.33798719574699	0.361828513639161	0.334170905882965	0.343469181833672	0.391513889062519	0.346224526049008	0.488748868232769	0.885066424632815	0.365166080248941	0.370418374459702	0.322663088891111	0.305216318563123	0.29448041306322	0.280442530882521	0.276753467786071	0.292370696704131	0.387911551736515	0.250711713961843	0.215607108054559	0.195775859042662	0.317845336145863	0.434619478072709	0.289313031472521	0.273495111920748	0.261426711624227	0.259754556158931	0.309285003272119	0.264553182804434	0.21271642245565	0.279293001038383	0.3374419345459	0.370297896482743	0.251070343724955	0.233198811521138	0.283007359663455	0.264588523993386	0.282450476937894	0.241783769415607	0.29342326603958	0.275402985274611	0.368234313044439	0.319725640522282	0.29130771522842	0.318597047047793	0.281723852379926	0.375577585073312	0.256833853751623	0.337981325486402	0.386051043014271	0.293859433270946	0.279008847274606	0.271498739179252	0.317422482679912	0.491812434468879	0.306470419697033	0.26913246585191	0.271584127127307	0.276160368276322	0.279295218619765	0.276518008766417	0.2600761534298	0.409561317817869	0.34806390830824	0.338500723349794	0.234160845090588	0.201827429121456	0.231402189697945	0.272080146692053	0.246132120868731	0.256715320504553	0.312275585381859	0.294029331107729	0.325884112725892	0.323673692262138	0.281348346002634	0.281150434191741	0.321576924472724	0.258875506009923	0.324668408228985	0.332136076813649
20160321-JWGZ3-1.P1-B-10.01.33825	0.293364468669278	0.219218397580216	0.268127860613231	0	0.207886056870151	0.313199151732389	0.22475817670856	0.166746580591773	0.185975415143328	0.194524846953163	0.179504723791783	0.16240804958952	0.220012587822704	0.259675085595802	0.213325145829623	0.237989373526771	0.275681916122799	0.291891289271379	0.284485263922314	0.262765466046309	0.286803907352893	0.301211650592419	0.49220067357216	0.864074299916835	0.357884194247612	0.336930226021146	0.289407240348833	0.261370604473036	0.233569859452222	0.231966523284602	0.25987210882505	0.284424410528387	0.434863549547879	0.239685435805958	0.201882186951624	0.30211529914558	0.321664085511206	0.40850026985435	0.277439011623264	0.253672527890923	0.22517271953564	0.229092233196582	0.285697748334835	0.252560312734195	0.230852614642688	0.2073513793579	0.248094522214453	0.286302980943444	0.239312121814788	0.161382737973111	0.2245717526975	0.167289807481607	0.190297436939144	0.174741477914443	0.239103562169223	0.165186699890092	0.285729160719023	0.232394157863474	0.238773095236596	0.222994165027455	0.233266428647535	0.309144810124068	0.129703806216586	0.233242279798329	0.40363098280363	0.268257657573035	0.26413141575535	0.279359098365983	0.315830134418056	0.453578708356104	0.273343870354974	0.231324642460321	0.260986990061057	0.256500984942921	0.266655787748296	0.263869246111382	0.259106095388918	0.353544029811463	0.270664812075131	0.291036295940727	0.174176523289269	0.173570623062115	0.166282451186989	0.218032718240283	0.184544396299413	0.204158052843107	0.244005623820558	0.169137464291416	0.253029881233056	0.229918189484645	0.195676793847985	0.204548740610767	0.260645672705282	0.169677517898723	0.236911363787319	0.195743797245373
20160321-JWGZ4-1.P1-B-11.01.33830	0.3429999846635	0.269086442578497	0.3020972394348	0.207886056870151	0	0.34682418169729	0.270098436528937	0.246564729837236	0.263070576387274	0.240414933100549	0.251015970536233	0.254033116092707	0.227410529434043	0.24655015121175	0.28342844163266	0.274010685273879	0.295951440668693	0.303679794277509	0.354088645418629	0.3305466946259	0.33338797738123	0.344134121498793	0.496052746793823	0.863955446850796	0.37206918442184	0.339900044044324	0.296253376056895	0.277708534432371	0.26218192648131	0.285705816075297	0.274214454087559	0.357641522473945	0.431648133048958	0.285858433085838	0.275777116344234	0.345375174172835	0.315022751979085	0.416540988429199	0.279265476608796	0.259276429188832	0.308185382065175	0.294613787817969	0.299665052540605	0.323618400156443	0.24525288107118	0.217136997027764	0.230718614774859	0.276217141720718	0.23524565646033	0.23234475702898	0.269419875930611	0.242043723668996	0.25753832674916	0.245872811534794	0.22983432568568	0.190745413745198	0.275852040182798	0.244952076800663	0.234615065003432	0.301935785689674	0.303820783931902	0.385641258549992	0.222589005588109	0.313880584776539	0.4102402904725	0.279227694419976	0.190353543602481	0.266017051326568	0.328127825936784	0.401621000123875	0.286967625947987	0.265301614237226	0.270081752204214	0.335654968913876	0.26363624882774	0.279634870522909	0.250269180302046	0.33749716905227	0.303355924490211	0.285857866493486	0.255090590469863	0.233247822701983	0.228997990032136	0.215232544036884	0.24266571076974	0.26256812246259	0.225437159033345	0.215043416753	0.237562142129378	0.261632450051113	0.215119839701865	0.278811852405874	0.31821096761853	0.239834305605726	0.315797944031859	0.298234397680126
20160321-JWGZ5-1.P1-B-12.01.33833	0.407416723313262	0.369089070631903	0.394461778164657	0.313199151732389	0.34682418169729	0	0.385324985592559	0.322259102251206	0.341063411528112	0.379247040212402	0.338112707205382	0.339037751692676	0.408553817547128	0.250005894558211	0.26674252150079	0.303955232374887	0.332097541239254	0.315113487636724	0.289555902027313	0.312019400440057	0.336303720737597	0.360850342242615	0.545685525580781	0.905667159493306	0.46627131679476	0.456189358172956	0.437509181973963	0.418437177142745	0.382197412599236	0.375718030075648	0.415746474943478	0.406962139377853	0.489578220697074	0.37039237333884	0.337901624391218	0.415250075915016	0.458432713520492	0.493565469630622	0.401883732195918	0.403657296893367	0.339275392230423	0.340395175427526	0.40476666097808	0.335159098704697	0.361523735006131	0.360535695683367	0.421992864379692	0.345040093712333	0.336327139591244	0.328989068519771	0.376882875310006	0.326453667324025	0.322875177503654	0.336019918324231	0.392701556441867	0.350381719961339	0.339982368478581	0.342591731517552	0.396231200712496	0.301202778184235	0.335419652475422	0.295102766506611	0.329736101850383	0.327085118620347	0.499463494700939	0.408437798072665	0.352844975969267	0.414669884616796	0.431628979063666	0.498558583830802	0.435995343350978	0.371374488143411	0.402261259493824	0.341930181711266	0.327471389879295	0.390992661943332	0.439430701406903	0.424061675742529	0.395556784464103	0.347547465230545	0.319008141521563	0.339090241771761	0.34544589027289	0.278194554122579	0.359723162002989	0.353611103072344	0.383331733763864	0.350802891426395	0.416381615616723	0.381286138241314	0.362862523474907	0.332860875520366	0.30589166236857	0.307487520926148	0.284882112819528	0.314915886073918
20160321-JWFH11-1.P1-B-2.01.33793	0.317335950750744	0.21317725782276	0.2626361574867	0.22475817670856	0.270098436528937	0.385324985592559	0	0.215950684830527	0.214454998762009	0.203593416051904	0.217086714092772	0.224818252083743	0.241354884534543	0.334790964428848	0.310908433301282	0.278455891186642	0.290214955165526	0.32591888516823	0.336213065213968	0.324626482365204	0.372107406249256	0.304125618072117	0.458531408327768	0.857230449322442	0.305424000244508	0.337804046784314	0.264585564372654	0.230233520880963	0.223191722426227	0.213191751402178	0.233282324149639	0.292062643773011	0.382124155440381	0.254086291790453	0.203007277559581	0.312910239477221	0.295109514895136	0.386043947563054	0.240101155746404	0.24930578793543	0.227728454104526	0.246322858323946	0.252549844506867	0.24903903276545	0.19202028528919	0.256276815957979	0.291918050845375	0.337337821065434	0.225443776945804	0.199057829566371	0.252216487834327	0.212506702510441	0.252297130757666	0.239415685335477	0.260237307572461	0.217942862424483	0.326939960971068	0.273387209360706	0.278292293559806	0.295327531925421	0.278882415202805	0.377318345738179	0.22534299923882	0.272770822093533	0.376972164066823	0.248770431326382	0.251265404555625	0.232830276690103	0.282951586610499	0.443769548278979	0.251166730028436	0.219531895658893	0.222357161018564	0.250700983176458	0.269288461504753	0.216864261149254	0.247821602275491	0.389938389281435	0.32668301669906	0.319324926117804	0.197545569915922	0.188630977437377	0.201366417008538	0.250107852704284	0.229888703293002	0.273515446847972	0.281770929026862	0.240637339694203	0.195581967692317	0.288120134680155	0.234297080758164	0.287264366545896	0.296419925549695	0.252943360834372	0.29217542258453	0.299194021369713
20160321-JWFH12-1.P1-B-3.01.33798	0.282069661759244	0.201539793326363	0.252040126611773	0.166746580591773	0.246564729837236	0.322259102251206	0.215950684830527	0	0.16654216556075	0.190702842405098	0.178885834760013	0.152810283100155	0.218217921732869	0.259026649345955	0.244346840698989	0.277464628249181	0.259111667818468	0.314038878156467	0.278593973378038	0.271985046085518	0.334546945324593	0.318123220365504	0.480159358762923	0.883110773723113	0.337968508391374	0.331528343781036	0.273843951009855	0.252434255463582	0.227848723117724	0.210654830641995	0.256916705145566	0.268170076974482	0.408461384995363	0.227513593636775	0.174271434083361	0.288860690536161	0.317092047306018	0.395479159613473	0.266862493832091	0.263845620418852	0.209907434471227	0.214481815133376	0.282048406732593	0.236204114448696	0.231260683423728	0.23003146512524	0.285988045063858	0.325090720953556	0.218408690128014	0.159607815134141	0.225908039591357	0.180270932817514	0.158032225226681	0.183302249795625	0.246324746440931	0.212111677192745	0.322085975905758	0.255608500119938	0.261920463296687	0.246096311235394	0.273975781045641	0.331278789427299	0.179984170735311	0.266840213610829	0.403721896893323	0.26911007195233	0.265843548669293	0.263092292511064	0.308188242907843	0.461421310255666	0.292493353349814	0.216599543551647	0.258152042061138	0.234636237379821	0.259224313625965	0.264440974695264	0.285844973139719	0.3788371314788	0.29263921590966	0.326521745923812	0.16674210259235	0.172594735471104	0.15467489628753	0.194708765523826	0.173874084597225	0.19532225308298	0.271393591313378	0.230107471830822	0.276538680259963	0.265806201689136	0.199644874135731	0.208930443342684	0.251401304784334	0.178757937113985	0.239774807630491	0.261387434096673
20160321-JWFH13-1.P1-B-4.01.33801	0.233248352973924	0.211421070667384	0.233053528241641	0.185975415143328	0.263070576387274	0.341063411528112	0.214454998762009	0.16654216556075	0	0.181275872804195	0.170444801773679	0.133030429675448	0.196428200106595	0.288095243126627	0.279346865669869	0.290924259530056	0.283821008634051	0.327170051548945	0.238203784641679	0.276545136128986	0.341022718603557	0.304827187828306	0.499742022437886	0.838700183358326	0.335626432761443	0.323331471920961	0.293308414571448	0.267116234617807	0.242579447558305	0.218485597309313	0.209207887023919	0.241880505219504	0.431667273759951	0.213927101077569	0.180851862424969	0.26066002444969	0.321000703971325	0.409074384487855	0.272330336402913	0.265719118269605	0.19936153306444	0.213951577620324	0.280995009806865	0.214963680242994	0.210689032239058	0.221040670267186	0.285613733695871	0.329962701543012	0.184921830696708	0.185397900071131	0.223625583499777	0.18566040744517	0.201044156976488	0.168656196239408	0.238174019633513	0.211586901918309	0.311637720721282	0.26266103607989	0.248367417876068	0.255090425804682	0.244763439322159	0.324146154589773	0.199382121050916	0.293341170241534	0.405898796125674	0.265425216298231	0.257443860178045	0.256945175430871	0.307791219565071	0.454448766381488	0.28418196544093	0.228652880236922	0.235778213435391	0.21662648280517	0.261954984667246	0.246913917416769	0.238804910598207	0.36878057442591	0.280038463845091	0.295386330116167	0.16938088241718	0.177670548930196	0.158688982982288	0.191527579419914	0.166955793149185	0.17734919549686	0.252600908508905	0.230298596891083	0.263921706655992	0.267830681438648	0.210778435501833	0.192247827333494	0.24101565711673	0.175394724335659	0.234474838760128	0.269731196070175
20160321-JWFH14-1.P1-B-5.01.33806	0.316822703386357	0.22821736769502	0.267071380110594	0.194524846953163	0.240414933100549	0.379247040212402	0.203593416051904	0.190702842405098	0.181275872804195	0	0.182728726636024	0.150031859367484	0.173460864363229	0.298921635791151	0.296831262463226	0.267202849218889	0.270354810648816	0.310098819815512	0.305201593244347	0.313853181208607	0.351525128415697	0.314409794003434	0.499967055597531	0.854189034257834	0.332207091900819	0.312892508752283	0.285192853392339	0.255328540543424	0.242907885971492	0.240063918850032	0.211671721138859	0.274383154014902	0.426735063076435	0.26552938000026	0.223006608828873	0.327229891044389	0.34189305695074	0.402299109488647	0.272676596657211	0.281361446652862	0.272411857122546	0.275156594472626	0.285183989218856	0.283312923236347	0.224336970463307	0.221157987939567	0.272670832988166	0.32801621191496	0.217238343127946	0.181652437284066	0.250096623919247	0.200927663719525	0.231181500760115	0.182061838005787	0.230993662486298	0.192296829474253	0.305272218893619	0.25107793555936	0.240981875664228	0.284303844302206	0.263531677281033	0.370286349479236	0.206323407324762	0.285546293005549	0.408029914598448	0.266874506019881	0.274378111762183	0.275695388575388	0.321810346052256	0.452406030821129	0.292594954475713	0.246306828179947	0.247445180594212	0.286511344275482	0.297991250703155	0.246446981145087	0.232545079352189	0.355519062695146	0.277945569339232	0.26291059471238	0.21774903392577	0.205520649161501	0.186483748569135	0.262170931885119	0.180533788565072	0.208007115652134	0.252957157492835	0.217008314801395	0.261229397275567	0.276020878208538	0.203308668488934	0.23297495024692	0.300178367490992	0.222972042750084	0.280912241738976	0.293895615630337
