row ID,Alphitonia philippinensis (1),Berchemia floribunda (2),Berchemia giraldiana (3),Berchemia hirtella (4),Berchemia huana (5),Berchemia kulingensis (6),Berchemia lineata (7),Berchemia loureiroana (8),Berchemia sinica (9),Berchemia yunnanensis (10),Ceanothus asiaticus (11),Colubrina arborescens (12),Colubrina asiatica (13),Colubrina pubescens (14),Colubrina spinosa (15),Gouania leptostachya (16),Guoania javanica (17),Gouania leptostachya (18),Gouania hypoglauca (19),Gouania polygama (20),Hovenia acerba (21),Hovenia acerba var. kiukiangensis (22),Karwinskia calderonii (23),Krugiodendron ferreum (24),Paliurus perforatus (25),Rhamnella franguloides (26),Rhamnella tonkinensis (27),Rhamnus crenata (28),Rhamnus davurica (29),Rhamnus diamantiaca (30),Rhamnus erythroxylon (31),Rhamnus globosa (32),Rhamnus hainanensis (33),Rhamnus koraiensis (34),Rhamnus leptophylla (35),Rhamnus longipes (36),Rhamnus napalensis (37),Rhamnus oreodendron (38),Rhamnus parvifolia (39),Rhamnus rosthornii (40),Rhamnus sphaerosperma (41),Rhamnus subapetala (42),Rhamnus utilis (43),Sageretia pauciflora (44),Sageretia thea (45),Scutia eberhardtia (46),Scutia myrtina (47),Ventilago calyculata (48),Ventilago calyculata var. trichoclada (49),Ventilago cristata (50),Ventilago denticulate (51),Ventilago inaequilateralis (52),Ventilago leiocarpa (53),Ventilago leiocarpa var. pubescens (54),Ventilago maderaspatana (55),Ventilago oblongifolia (56),Ventilago pauciflora (57),Ziziphus apetala (58),Ziziphus attopensis (59),Ziziphus cambodiana (60),Ziziphus funiculosa (61),Ziziphus guatemalensis (62),Ziziphus horsfieldii (63),Ziziphus incurva (64),Ziziphus mauritiana (65),Ziziphus oenopolia (66),Ziziphus poilaneo (67),Ziziphus rotundifolia (68),Ziziphus rugosa (69),Ziziphus rugosa var. harmandii (70),Ziziphus thyrsiflora (71)
1,17.7765,0,11.9592,0,44.604,37.0566,0,204.9102,42.0756,27.3372,28.14793506,434727.6819,86.4576,28.0764,106.4194996,33.7722,9.2016,15.69,13.9824,26.9985,7.5915,24.9459,31.758,21.6315,12.765,23.4975,47.7813,9.396,31.3152,20.5251,12.7875,5.31,0,19.899,0,56.61,9.1908,29.2572,0,0,23.8434,0,0,11.979,42.3936,24.435,6.4914,151.6704,5.6133,11.2728,237.3912115,22.7745,72.5625,12.6732,31.7163,9.7299,89.7939,22.8105,29.7714,31.2702,9.3522,44.7648,17.199,21.1734,27.948,15.5097,26.4012,16.38,19.9134,0,23.016
2,0,0,18.3654,0,126.492,0,0,25.9605,16.7154,0,1127.973612,21.672,11.286,12.6105,561.223927,24.3474,0,53.8242,9.1368,18.48,15.756,14.238,21.69,7.104,0,7.623,9.3366,0,0,0,0,0,30.72,0,35.568,0,0,0,26.8884,0,0,29.3076,0,50.3025,22.0719,0,0,12.5652,0,0,0,0,0,0,0,129.432,0,0,13.3977,20.436,0,25.31093148,19.38,0,80.5977,12.1752,422267.5564,4472.145747,208.1673048,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412665.8147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,53.3385,15.804,0,11.7093,17.7975,0,17.1768,0,16.2912,10.845,0,11.154,15.6816,13.8411,250.815,228.0417209,9.6501,108.237,124.536,26.8848,23.3025,10.6029,0,10.5966,6.4692,0,11.1738,20.358,123.078,0,0,391.794,14.7465,51.0678,14.421,0,208.3448083,25.9875,0,11.7162,15.255,25.7994,13.2366,0,12.5316,38.3514,0,0,13.7214,0,40.1577,0,0,0,7.182,19.4544,0,16.5075,0,63.2043,9.7071,36.738,30.564,0,226.4168327,32.5605,390741.8436,148.0524,136.8312,13.2366,22.2894
5,189425.5446,0,0,0,37.5219,466.9944,20.184,0,0,0,36623.63032,0,12.24,10.152,1171244.941,2843.003647,11.1672,2299.999882,364.7930439,58019.78368,0,56847.9431,0,0,6.327,0,0,21.89034851,0,0,0,0,0,0,0,0,0,0,0,0,22.6632,9.1314,14.2128,23.9475,0,578.1595916,13.221,0,0,0,32.1153,0,0,0,0,9.1476,0,646195.7939,161.3436,132.528,73.8126,754.0861742,1007.435421,94776.07715,215665.8965,41.3031,20.6316,2054.805308,20747.43934,3.9159,32.154
6,40.0095,32.424,20.43353767,14.9076,24.5004,19.2912,23.8326,48.8808,60.0789,74.08185974,39.204,78.64358135,23.331,52.02,16.296,11.187,31.6512,17.7795,19.7964,31.608,113.5404,31.518,32.3067,19.4775,14.2632,82.5471,7.7034,50.544,68.2464,60.996,59.4,7155.8016,151.2525,41.11534127,358448.2928,2418.010908,273886.2692,72.5706,84.7113,14.2212,139.023,125.0625,314791.6179,600.7359996,85.1424,11.8776,57.153,14.271,46.3554,100.4337,13.8753,13.431,17.1108,23.2308,201.7449,9.3756,44.064,69.93,42.15749041,27.6276,32.13,96.0768,65.7315,21.9171,22.3215,112.8954,159.3306,36.6795,42.09332618,21.933,41.1939
7,0,9.6501,52.85756497,30872.09143,39.969,27.6318,90.216,0,0,0,37.842,0,0,0,33.5448,46.968,0,5.2125,53.0376,0,0,16.7013,0,0,12.9276,6.4542,13.689,11.6817,0,10.737,0,0,0,22.338,0,15.6612,0,0,17.1132,0,61.5144,36.1515,19.3824,0,49.56,0,0,14.7552,0,22.722,0,0,0,9.6714,0,0,9.6471,0,595814.5339,276.4977,72.37538901,340.0941467,39.102,10.7037,61.9344,0,16.119,9.87,27.846,0,464.8889348
8,169.9116,0,32.688,0,27.0981,8.211,13.2426,21.1248,11.394,9.3366,40.4028,328.4324764,67.8651,21.8502,157.2106729,222.0354,60.6984,1499.172558,0,74.973,15.678,0,24.192,1608.730096,12.204,11.2002,0,13.188,0,9.1692,51.8688,22.188,30.87,8.3007,12.1248,31.8435,0,29.8995,0,0,0,0,0,0,33.165,33.5178,0,0,14.7117,0,0,0,0,29.811,0,0,0,80.6187,23.6205,60.7419,0,6170.861695,26.0352,0,450095.2264,242.7583729,86.6952,265176.9925,184.9960298,0,9043.671158
9,0,21.459,12.2184,0,11.7024,0,0,14.8713,0,13.2645,243816.7075,26.8551,36.2802,2732.656607,1211768.42,342.7065734,74.049,38.05004288,466.1176143,638.9574,132.4229538,118.8072297,65.6919,6.7659,9.153,19.3914,15.1317,13.2054,0,12.2256,29.7888,0,0,8.9775,0,20.5392,0,19.635,26.082,9.126,0,7.176,0,0,29.7945,22.3452,13.7133,0,0,6.8115,0,0,0,0,12.6975,0,11.907,22.9005,11.421,0,10.6848,5916.066947,532.6742337,0,54.6633,34.9977,16.8597,9.639,30.4668,16.2,90134.89265
10,32.0733,19.2207,17.3952,15.9309,11.88,36.2526,16.6815,12.24,36.6576,37.134,30.75929985,8.604,12.96341504,132.396,5.499,11.8008,28.2852,9.3288,21.924,52.7865,19.39459988,76.4109,0,0,18.8478,27.1461,25.4637,21.78,11181.60625,2463.495076,99157.97561,116365.8311,215241.954,2513.260433,12053.79139,1999.694721,25.077,772.4841023,10544.72069,251.858755,242406.4196,1500.331608,17993.51834,60.171,19.512,19.2231,20.424,167.4348,16.8777,20690.94874,60.8202,20.58587658,252876.6529,159.731835,107.0307361,171.171,34.848,35.28,16.281,36.558,13.77,22.464,47.9643,36.0006,47.0238,35.823,12.885,23.9363982,18.5052,21.2154,63.1176
