CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	Alphitonia philippinensis (1)	Berchemia floribunda (2)	Berchemia giraldiana (3)	Berchemia hirtella (4)	Berchemia huana (5)	Berchemia kulingensis (6)	Berchemia lineata (7)	Berchemia loureiroana (8)	Berchemia sinica (9)	Berchemia yunnanensis (10)	Ceanothus asiaticus (11)	Colubrina arborescens (12)	Colubrina asiatica (13)	Colubrina pubescens (14)	Colubrina spinosa (15)	Gouania leptostachya (16)	Guoania javanica (17)	Gouania leptostachya (18)	Gouania hypoglauca (19)	Gouania polygama (20)	Hovenia acerba (21)	Hovenia acerba var. kiukiangensis (22)	Karwinskia calderonii (23)	Krugiodendron ferreum (24)	Paliurus perforatus (25)	Rhamnella franguloides (26)	Rhamnella tonkinensis (27)	Rhamnus crenata (28)	Rhamnus davurica (29)	Rhamnus diamantiaca (30)	Rhamnus erythroxylon (31)	Rhamnus globosa (32)	Rhamnus hainanensis (33)	Rhamnus koraiensis (34)	Rhamnus leptophylla (35)	Rhamnus longipes (36)	Rhamnus napalensis (37)	Rhamnus oreodendron (38)	Rhamnus parvifolia (39)	Rhamnus rosthornii (40)	Rhamnus sphaerosperma (41)	Rhamnus subapetala (42)	Rhamnus utilis (43)	Sageretia pauciflora (44)	Sageretia thea (45)	Scutia eberhardtia (46)	Scutia myrtina (47)	Ventilago calyculata (48)	Ventilago calyculata var. trichoclada (49)	Ventilago cristata (50)	Ventilago denticulate (51)	Ventilago inaequilateralis (52)	Ventilago leiocarpa (53)	Ventilago leiocarpa var. pubescens (54)	Ventilago maderaspatana (55)	Ventilago oblongifolia (56)	Ventilago pauciflora (57)	Ziziphus apetala (58)	Ziziphus attopensis (59)	Ziziphus cambodiana (60)	Ziziphus funiculosa (61)	Ziziphus guatemalensis (62)	Ziziphus horsfieldii (63)	Ziziphus incurva (64)	Ziziphus mauritiana (65)	Ziziphus oenopolia (66)	Ziziphus poilaneo (67)	Ziziphus rotundifolia (68)	Ziziphus rugosa (69)	Ziziphus rugosa var. harmandii (70)	Ziziphus thyrsiflora (71)
Organic compounds	Alkaloids and derivatives;Organoheterocyclic compounds	Harmala alkaloids;Piperidines	Benzylpiperidines;none	4-benzylpiperidines;Harmala alkaloids	2306.8834403	5352.640547	5622.456642	10657.566220499999	5399.168224	1159.938	23065.547952	11043.4329987	12217.321804	17826.68101	7390.503781000001	25251.481274	16454.809711	2447.771534	12237.222104	3540.634771	7982.102338	2789.6486110000005	5483.8428797	8086.90771	24931.48556	3019.7103446	2024.1301187000001	24339.448451	4771.935313	111.648	2083.825129	3854.1505469	24988.008909999997	243.0086316	27494.70331	6624.346278	2565.1770813000003	1510.1851681	5494.149467	2073.5929778	6133.408032	7376.196897	12437.846432	23329.179202000003	31019.295057	1627.8106484	972.5130293000001	2525.1763300000002	173.13903661999998	10821.38831	9873.910211	12267.006587	10113.912203200001	3232.0106723	6353.9160641	4882.715209	2036.9928496999999	682.4476062	1891.3868334	703.4667656000001	15039.905205000001	2412.670446	15483.241712	12749.0150157	5086.273562400001	1646.0986661000002	5795.355495	563.8541026999999	18702.658113	12454.686019	682.2951127	6238.527296	3274.479087	317.4905918	41133.916035
Organic compounds	Alkaloids and derivatives;Phenylpropanoids and polyketides	Macrolides and analogues;Protoberberine alkaloids and derivatives	none	Protoberberine alkaloids and derivatives;Zearalenones	0.0	23.570999999999998	21.3696	46.9452	0.0	0.0	0.0	0.0	0.0	33.6708	18.9762	32.5806	0.0	36.762299999999996	43.6176	121.875	0.0	250.10399999999998	13.5774	236.9028	35.4156	245.5596	34.2945	48.618	48.532799999999995	51.5268	34.9968	19.359	23.391	33.5901	0.0	0.0	0.0	28.4148	0.0	34.8234	18.438	83.95739999999999	10.6596	0.0	138.3648	16.9785	34.0686	0.0	64.488	29.2005	11.4432	0.0	43.6536	0.0	21.0756	48.453	42.3852	30.347700000000003	16.2528	35.0376	152.5896	13.2366	0.0	67.3506	0.0	1904.1455697	48.3525	0.0	38.4792	33.8235	52.2765	0.0	0.0	55.407000000000004	448167.98960499995
Organic compounds	Benzenoids	Anthracenes	Anthracenecarboxylic acids and derivatives;Anthraquinones	Anthracenecarboxylic acids;Hydroxyanthraquinones	0.0	0.0	0.0	64.42211074	93.2973	21.357	29.8035	29.7198	0.0	9.152999999999999	0.0	4.14	0.0	0.0	0.0	12.54	0.0	5.3898	0.0	0.0	0.0	13.6323	0.0	0.0	6.4356	0.0	0.0	0.0	38.8515	48.3783	165.0029817	193.5495	4012.780076	264.5840485	12.4425	9.2898	19.817999999999998	40.443000000000005	282.8512507	0.0	375.8499	4936.020154	110.0575744	44.58619204	0.0	0.0	0.0	57.6831	0.0	29.5452	17.7975	18.756	38639.346229999996	310.387208	22.8825	46.836000000000006	12.627	33.6456	0.0	0.0	0.0	0.0	23.5116	0.0	49.8474	6.8685	8.28	0.0	57.0843	0.0	38.2806
Organic compounds	Benzenoids	Anthracenes	Anthraquinones	Anthraquinones	690788.301	608632.4846099999	529069.15807	540144.8814	430666.0542	442673.56419999996	1185751.4832	522858.4878	661796.8302	529195.14506	793685.7840000001	620411.5824	997871.3394	616685.2266	1657537.4574	470847.5358	599576.6328	691772.3922	1265371.9962	3356429.5539999995	1682320.9878	856274.9484	509753.9406	837015.6059999999	618313.356	927137.1222	508178.2356	732934.8768	181424.59411	338326.11362699996	393096.6657	927439.89861	240999.29353	700074.96217	700899.1265	711564.673005	1243107.0303729998	2673782.588	2429689.31	2265107.102	2620866.996	994123.84127	895924.86551	1145146.9307	1630847.784	1510075.1274	733499.637	483368.20529	754035.885	14689.683239	846254.445	262558.80549	641639.27651	612938.369	404217.2501	474509.7164	309861.45609000005	1014318.9234	1458602.4204	1122671.4144	822303.1686	1351681.4286	1532469.8577	1009909.566	1515682.2576	1020139.4814	807414.1578	974084.3448	755606.6832	754298.0256	3625647.308
Organic compounds	Benzenoids	Anthracenes	Anthraquinones	Hydroxyanthraquinones	46.584	226.4487	463.3674885	523.70658214	354.13483010000004	206.5776	1941.323114	1281.5461938	2089.9998452	1482.8811502000005	70.7172	247.2102	300.2763	122.6163	1068.1046568	89.9826	762.4158603999999	639.1620752199999	186.59028203999998	1075.9680544999999	240.0489	32.88	8344.654699	1014.3648000000001	221.1033	933.4458201000001	881.2210072	262.08449999999993	28036.529856499998	4667.105702	22119.001481499996	18295.798542000004	72177.4148405	20294.079113100004	2352.904614	26098.336470499995	369.01575055	13539.4463308	8703.474725	121.1181	33578.712312999996	80993.2511543	1110.9213651	17611.796043000002	300.6091991	260.21696184	40.58969999999999	14022.265217900002	294.0417	4097.49433052	14463.7194571	6022.565807	231481.1198507	2666.914215	795.7278286000001	1642.041779	9053.348457989998	96.22500000000001	69.84689999999999	148.2423672	642.502686	469.7064	168.8793	25.789499999999997	214.45589999999999	326.42300009999997	91.0197	477.7953	62.974563180000004	25.934400000000004	107.7603
Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonic acids and derivatives	Benzenesulfonate esters	16.5984	5.8212	9.7014	49.61913	7.455	22.7829	52.19256	35.7	7.3815	106.59	48.5685	18.6888	19.7379	12.5895	49.3005	6.255	4.164	14.62522412	10.6974	66.4047	60.0822	37.80810674	9.423	31.68	1876.7781530000002	9.06	21.9753	17.8794	83.21982854	87.44474633	16.7607	112.8344518	82.806	84.9095295	88.1961	83.56419	20.71936165	45.927	45.3456	68.994	12.1176	19.3284	53.33034348	72500.941706	691.5667857999999	15.9264	33.42024	26.2548	0.0	99.0	94.4925	73.88094	94.71982681	0.0	23.52	0.0	63.0084	35.532	8.9082	0.0	62.6304	13.6686	4.3785	0.0	92.5038	5.6862	32.1354	20.0889	7.21035	19.1661	34.01512952
Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Galloyl esters	25.2195	338.99039999999997	1703.3735140000001	200.7540271	347.41769999999997	321.2716738	220.7330827	277.45479	139.872	2404.7701570000004	22.86276	134.17488	211.580438	35.634	46.71162	0.0	183.99543000000003	383.0368583	211.2588	11.59242	697.2778852000001	56.819759999999995	48.95571	126.6318	52248.482213	7112.136775200001	214.0557	71.97758999999999	97.1658682	427.9221	39954.82411	706.02213	50.367729569999995	932.1510586	237.76878	3596.5285840000006	144.77572030000002	116.14585452	23613.435759999997	8490.48288426	264.368538	213.93067159999998	151.1420244	184.5744	140.9334	300.00149999999996	210.45120008	185.6327484	89.55846	55.37772	18.084	38.8062	453.32540080000007	312.1130771	45.81696725	40.3086	1048.257729	90.63018000000001	367.53718060000006	441.3872432	23829.550643000002	703.8797128	316.99620430000004	0.0	98.74494	127.46965452	113.39469799999999	108.91629	108.6513251	235.44588000000002	1268.1368
Organic compounds	Benzenoids	Benzene and substituted derivatives;Phenols	Benzenediols;Diphenylethers;none	Diphenylethers;Stilbenes	2826.1341438	573.3018047	3709.8434888	75489.909197	5329.9096569	31335.910820999998	19.0896	7930.5766223	144695.29659	17529.561019999997	30.4275	77.4297	12.753	35.2716	12.4668	693.5080867	157.8952764	134.56481774	494.01739030000005	30.3453	5621.5134897	87412.66721	397.82616591	318.99086719999997	269.87749881999997	31.851	157.0366301	9.107999999999999	6.8607	241.719	4159.4191293	79.8237	56.36890842	181.9371	18.4014	17499.592500000002	6295.454237	579.7067943000001	807.5019708000001	80.52269293	300.822535	28.3998	15.7788	43.1955	8.9334	152.783837	1546.447085	10769.0509247	3997.030516	837.6784031	2034.9676912	25925.812334000002	37.8069	14789.136670000002	2769.6434019	69168.047158	9957.424747000001	26627.71837	45.6687	24095.40722	169.083	34.9806	62.9445	143756.85109	43.50748125	13903.165389	5905.847642999999	13.5201	5193.121897	58041.40916	120.78900000000002
Organic compounds	Lignans, neolignans and related compounds	Lignan glycosides	none	Lignan glycosides	1901.5829604	678.610582	1878.957419	1618.2976804	241.23806447	1081.9534479	84.8304	27022.69913	29964.881531900002	2950.7526829999997	769.2009475	374.6526873	1011.301471	2553.76419752	101.6916	14081.483143	16133.763669	30063.4017063	2406.17513	171.6456	3053.8543091	305.3801609	165.04914547	12831.086301	1183.979248	133.7952	442.5301945	4538.4697247	43.8348	317.6232	1072.903163	983.3170406	92.17780373	203.94764498	75.43440000000001	288.4074	525.1797	324.1072132	173.6334	79.2585	150.00696343	275.32259999999997	106.51334985	824.7842394000002	142.28699999999998	63.91714292	193.99753994000002	19352.287250999998	745.5780325000001	2136.1804982999997	5040.9367188999995	24872.307054999997	53.5317	12140.9876596	73.3956	2656.8093390000004	634.248155	209345.36876	34121.81116599999	21600.064202999998	1061.2400672	35.541	189.25277491999998	115283.73122999999	960.9576941	37585.313976	9127.924567	6253.031112999999	78680.64072299999	31047.46425	51.012
Organic compounds	Lignans, neolignans and related compounds;Lipids and lipid-like molecules	Lignan glycosides	none	Lignan glycosides	4693.359118	4806.677183299999	5938.489816	3265.6495121999997	961.24958028	3264.4647990000003	69.9216	410.49822113000005	19135.292400000002	16105.216467000002	140.97333344	139.8114	5154.4572999	18644.153780000004	83.8521	179.4366	239.8885584	358.04130000000004	123.80813055	118.3107	1233.4593	4490.34284	473.08349999999996	76.36225697	606.7115719	1058.1261461000001	1247.1498103000001	121.70811584	300.7776	727.6091455000001	163.9632	477.9283481	89.25497318	507.4744528	354.09389999999996	146.85323071	57.480000000000004	160.65443374	344.7310208	176.0227733	569.85363338	297.98591144	975.8745312	572.8702256	137.5848	97.8264	232.66632921000001	576.6454132700001	790.9152721	719.4567367000001	178.10658534	285.18219648	184.82314008999998	529.59177225	150.59131159	383.7647968	578.8279007	5026.0727759	307.81013406	692.7103288	365.1276163	57.1278	316.449076	268.91788310999993	8859.208277000002	2949.7013911999998	256.05246723000005	704.6553613	6526.091761	108.08119835	146.56052051
