8_0.86_1	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OCCC3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H]2OC(=O)\C=C\C5=CC(O)=C(O)C=C5)[C@H](O)[C@H](O)[C@H]1O
8_0.86_2	[C@]12(C([C@@H](C[C@@]3(C1=O)C(=C(C2=O)C(=O)c1cc(c(cc1)O)O)OC([C@H](C3)CCC(O)(C)C)(C)C)CC=C(C)C)(C)C)CC=C(C)C
8_0.86_3	[C@@]12(C(=O)[C@@](C(=C(C2=O)C(=O)c2cc(c(cc2)O)O)O)(C[C@H](C1(C)C)CC=C(C)C)C[C@H](C(=C)C)CC=C(C)C)CCC(O)(C)C
8_0.86_4	[C@H]12[C@@H]([C@H](C(=C[C@H]2[C@](CC1(C)C)(O)C)C)/C=C\C=C/C=C/[C@@H]([C@@H]([C@@H](C/C=C(/C=C/C(=O)O)\C)O)C)O)[C@H](c1ccc(cc1)O)OC
8_0.86_5	CC(=CCC(CC12CC3CC(C(C)(C)O)C(C(=O)c4ccccc4)(C2=O)C(=O)C(CC(C(C)(C)O)O)(C1=O)C3(C)C)C(=C)C)C
8_0.86_6	C/C=C\1/CNC2Cc3c4ccccc4[nH]c3C(CC1C2C(=O)OC)c1ccc2c3CCN4CC(CC)C(C(CCc3[nH]c2c1)C4)O
8_0.86_7	CC(C)c1ccc(C)c2c(c1)c(C)cc2C1=C(C)c2cc(C(C)C)c(/C=C/3\C=C(C)c4cc(C(C)C)c(C=O)c(C)c34)c(C)c2C1=O
8_0.86_8	C[C@H]1CO[C@@H]([C@@H]1CO)[C@H]([C@](C)([C@H]1CC[C@@]2([C@@]1(CC[C@H]1C2=CC(=O)[C@H]2[C@@]1(CC[C@]1(C2)C=C[C@@H](CO1)c1ccccc1)C)C)O)O)O
8_0.86_9	CC1(C)CCC2(CC=C3C4(C)CCC5C(C)(C)C(CCC5(C)C4CCC3(C)C2C1)OC(=O)/C=C/c1ccc(c(c1)O)O)CO
8_0.86_10	[C@@]12([C@]3([C@@H]([C@@H]4[C@@](CC3)(CC[C@H]4C(=C)C)C)CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](C[C@H]1O)OC(=O)/C=C/c1cc(c(cc1)O)O)(C)C)C)C)C
8_0.86_11	[C@@]12([C@]3([C@@H]([C@@]4([C@@H]([C@H](C3)O)C([C@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(C)C)C)CC[C@@H]1[C@@H]1[C@@](CC2)(CC[C@H]1C(=C)C)C)C)C
8_0.86_12	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)OC(=O)/C=C/c3cc(c(cc3)O)O)(C)C)C)CC=C1[C@H]1[C@@](CC2)(CC[C@H]([C@@H]1C)C)CO)C)C
8_0.86_13	[C@@]12([C@]3([C@@H]([C@@H]4[C@@](CC3)(CC[C@H]4C(=C)C)CO)CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)OC(=O)/C=C/c1cc(c(cc1)O)O)(C)C)C)C)C
8_0.86_14	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)OC(=O)/C=C/c1cc(c(cc1)O)O)(C)C)C)[C@@H]1[C@@](CC3)(CCC(C1)(C)C)CO)C)C
8_0.86_15	CC1(C)C2CC=C3CC4(C)CCC5C(C)(CCC(C5(C)CO)OC(=O)/C=C/c5ccc(cc5)O)C4CCC3C2(C)CCC1O
8_0.86_16	CCC(CC(C(C)C1CCC2C3=CC(=O)C4C(C)C(CCC4(C)C3CCC12C)OC(=O)c1ccccc1)OC(=O)C)C(C)C
8_0.86_17	[C@@]12([C@]3(C(=CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)O)(C)C)C)[C@H]1[C@@]([C@@H](C3)O)([C@H](CC(C1)(C)C)O)COC(=O)/C=C/c1ccccc1)C)C
8_0.86_18	CC1(C)CC2C3=CCC4C5(C)CCC(C(C)(C)C5CCC4(C)C3(C)CC(C2(CO)C(C1)O)OC(=O)/C=C/c1ccccc1)O
8_0.86_19	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)(C)C)C)CC=C1[C@H]1[C@@]([C@@H]([C@@H]2O)O)([C@H]([C@@H](C(C1)(C)C)OC(=O)/C=C/c1ccccc1)OC(=O)[C@@H](CC)C)CO)C)C
8_0.86_20	CC1C(C(C(C(O1)OC1C(C(COC1OC(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CCC(C(C)(C)C4CCC3(C)C1(C)CC2O)OC1C(C(C(C(C(=O)O)O1)O)O)O)O)O)O)OC1C(C(CO)(CO1)O)O)O
8_0.86_21	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)(C)C)C)CC=C1[C@H]1[C@]([C@@H](C2)O)(C(=O)O[C@@H]2[C@H]([C@@H]([C@@H](CO2)O)O)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)O)O)CCC(C1)(C)C)C)C
8_0.86_22	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)(C)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)CCC(C1)(C)C)C)C=O
8_0.86_23	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)(C=O)C)C)CC=C1[C@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)CCC(C1)(C)C)C)C
8_0.86_24	[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)C([C@H](CC4)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O[C@H]3[C@@H]([C@H]([C@H](CO3)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H](CO3)O)O)O)(C)C)C)CC=C1[C@@H]1[C@](CC2)(C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CCC(C1)(C)C)C)C
