cluster.index	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_score	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
746	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
821	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
669	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1941	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1279	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
381	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
2001	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1949	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1883	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
961	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1100	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
432	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
747	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
1319	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
344	8	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.86	1	0.639	0.557	0.38	0.376	0.025;0.027;0.03;0.028;0.027;0.033;0.026;0.032;0.031;0.031
