cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd	LibraryID	NumberOrganismIDs	AllOrganisms	componentindex
344	1	621.342	1	621.342	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:344###	 	G1,	612.67	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=344	1	0	N/A	0	N/A	8
345	1	377.085	1	377.085	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:345###	 	G1,	48.77	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=345	1	1	N/A	0	N/A	-1
346	1	1003.64	1	1003.64	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:346###	 	G1,	474.93	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=346	1	0	N/A	0	N/A	12
347	1	529.228	1	529.228	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:347###	 	G1,	170.64	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=347	1	1	N/A	0	N/A	-1
340	1	1061.55	1	1061.55	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:340###	 	G1,	436.51	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=340	1	0	N/A	0	N/A	14
341	1	561.141	1	561.141	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:341###	 	G1,	141.4	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=341	1	1	N/A	0	N/A	-1
342	1	941.512	1	941.512	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:342###	 	G1,	345.19	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=342	1	0	N/A	0	N/A	10
343	1	535.205	1	535.205	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:343###	 	G1,	592.35	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=343	1	1	N/A	0	N/A	15
348	1	699.192	1	699.192	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:348###	 	G1,	363.09	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=348	1	1	N/A	0	N/A	17
349	1	299.201	1	299.201	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:349###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=349	1	0	N/A	0	N/A	-1
1653	1	433.207	1	433.207	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:1653###	 	G1,	175.66	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=1653	1	1	N/A	0	N/A	-1
298	1	483.312	1	483.312	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:298###	 	G1,	609.12	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=298	1	0	N/A	0	N/A	34
299	1	1151.58	1	1151.58	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:299###	 	G1,	452.79	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=299	1	0	N/A	0	N/A	-1
296	1	967.63	1	967.63	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:296###	 	G1,	603.8	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=296	1	0	N/A	0	N/A	12
297	1	1077.54	1	1077.54	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:297###	 	G1,	427.01	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=297	1	0	N/A	0	N/A	10
294	1	433.043	1	433.043	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:294###	 	G1,	157.33	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=294	1	1	N/A	0	N/A	35
295	1	597.217	1	597.217	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:295###	 	G1,	189.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=295	1	1	N/A	0	N/A	-1
292	1	523.167	1	523.167	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:292###	 	G1,	122.99	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=292	1	1	N/A	0	N/A	-1
293	1	953.089	1	953.089	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:293###	 	G1,	152.69	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=293	1	1	N/A	0	N/A	37
290	1	1123.5	1	1123.5	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:290###	 	G1,	443.3	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=290	1	1	N/A	0	N/A	38
291	1	473.13	1	473.13	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:291###	 	G1,	95.43	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=291	1	1	N/A	0	N/A	-1
2147	1	637.269	1	637.269	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2147###	 	G1,	914.72	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2147	1	1	N/A	0	N/A	-1
270	1	889.426	1	889.426	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:270###	 	G1,	535.36	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=270	1	1	N/A	0	N/A	46
271	1	233.045	1	233.045	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:271###	 	G1,	175.85	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=271	1	1	N/A	0	N/A	-1
272	1	553.155	1	553.155	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:272###	 	G1,	193.74	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=272	1	1	N/A	0	N/A	9
273	1	602.227	1	602.227	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:273###	 	G1,	566.79	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=273	1	0	N/A	0	N/A	-1
274	1	601.391	1	601.391	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:274###	 	G1,	868.91	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=274	1	0	N/A	0	N/A	8
275	1	851.499	1	851.499	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:275###	 	G1,	832.3	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=275	1	0	N/A	0	N/A	47
276	1	165.055	1	165.055	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:276###	 	G1,	195.43	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=276	1	1	N/A	0	N/A	-1
277	1	607.168	1	607.168	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:277###	 	G1,	219.6	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=277	1	1	N/A	0	N/A	9
278	1	983.286	1	983.286	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:278###	 	G1,	96.87	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=278	1	1	N/A	0	N/A	48
279	1	593.13	1	593.13	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:279###	 	G1,	82.05	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=279	1	1	N/A	0	N/A	-1
1780	1	595.167	1	595.167	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:1780###	 	G1,	236.32	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=1780	1	1	N/A	0	N/A	9
2146	1	183.03	1	183.03	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2146###	 	G1,	470.65	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2146	1	1	N/A	0	N/A	-1
2268	1	517.317	1	517.317	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2268###	 	G1,	332.82	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2268	1	0	N/A	0	N/A	-1
2262	1	299.056	1	299.056	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2262###	 	G1,	537.81	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2262	1	1	N/A	0	N/A	141
2263	1	723.379	1	723.379	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2263###	 	G1,	602.42	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2263	1	0	N/A	0	N/A	-1
2260	1	947.261	1	947.261	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2260###	 	G1,	302.45	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2260	1	1	N/A	0	N/A	16
2261	1	387.166	1	387.166	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2261###	 	G1,	143.06	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2261	1	1	N/A	0	N/A	-1
2266	1	299.055	1	299.055	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2266###	 	G1,	417.64	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2266	1	1	N/A	0	N/A	-1
2267	1	174.956	1	174.956	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2267###	 	G1,	584.33	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2267	1	1	N/A	0	N/A	-1
2264	1	455.279	1	455.279	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2264###	 	G1,	828.97	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2264	1	0	N/A	0	N/A	-1
2265	1	313.035	1	313.035	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2265###	 	G1,	355.23	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2265	1	1	N/A	0	N/A	-1
1781	1	307.119	1	307.119	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:1781###	 	G1,	364.76	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=1781	1	1	N/A	0	N/A	-1
2189	1	1005.43	1	1005.43	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:2189###	 	G1,	418.8	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=2189	1	1	N/A	0	N/A	46
108	1	859.42	1	859.42	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:108###	 	G1,	572.61	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=108	1	1	N/A	0	N/A	46
109	1	317.212	1	317.212	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:109###	 	G1,	725.99	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=109	1	0	N/A	0	N/A	-1
102	1	538.235	1	538.235	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:102###	 	G1,	542.88	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=102	1	0	N/A	0	N/A	-1
103	1	1055.68	1	1055.68	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:103###	 	G1,	663.12	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=103	1	0	N/A	0	N/A	53
100	1	1089.55	1	1089.55	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:100###	 	G1,	459.32	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=100	1	0	N/A	0	N/A	10
101	1	542.212	1	542.212	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:101###	 	G1,	1090.11	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=101	1	0	N/A	0	N/A	46
106	1	553.283	1	553.283	0	1	0	0	0	0	0	171205_71extracts_peaktable.mgf:106###	 	G1,	320.07	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e9e02c0ba3db473a9b1ddd36da72859b&view=cluster_details&protein=106	1	0	N/A	0	N/A	41
