Genera	0_Rhamnoid	0_Ziziphoid	1_Ventilageneae	1_restofRham	1_Gouaniae	1_restofZizi	2_Rhamnus	2_RestofRham	2_Colubrina	2_RestofZizi	3_ScutnSage	3_RestofRham	3_CeanAlp	3_RestofZizi	4_Berchemia	4_RestofRham	4_Hovenia	4_RestofZizi	5_Krugiodendron	5_RestofRham	6_Alphitonia	6_Bercemia	6_Ceanothus	6_Colubrina	6-Gouania	6_Hovenia	6_Karwinskia	6_Krugiodendron	6_Paliurus	6_Rhamnella	6_Rhamnus	6_Sageretia	6_Scutia	6_Ventilago	6_Ziziphus
Alphitonia philippinensis (1)	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia floribunda (2)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia giraldiana (3)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia hirtella (4)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia huana (5)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia kulingensis (6)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia lineata (7)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia loureiroana (8)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia sinica (9)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Berchemia yunnanensis (10)	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
