CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	shmotifs	topX	topXinNode
375	1778	9.98502	0	0.776457	0.513966	2	motif_172	motif_172,NA,NA,NA,NA	motif_172
1661	1884	-14.0176	0	0.746437	0.572073	3		NA,NA,NA,NA,NA	
965	1966	30.0101	0	0.703213	0.561025	3		NA,NA,NA,NA,NA	
965	1661	30.0102	0	0.769737	0.66477	3		NA,NA,NA,NA,NA	
1661	1966	-6.10352e-05	0	0.737271	0.578559	3		NA,NA,NA,NA,NA	
965	1884	15.9926	0	0.798683	0.673013	3		NA,NA,NA,NA,NA	
1669	2201	30.0113	0	0.829787	0.673656	3		NA,NA,NA,NA,NA	
1884	2201	43.9911	0	0.779674	0.583238	3		NA,NA,NA,NA,NA	
1432	1754	2.01208	0	0.859992	0.701556	4		motif_68,motif_80,NA,NA,NA	
261	1009	10.0183	0	0.746898	0.622361	4		motif_68,motif_80,NA,NA,NA	
27	352	15.9948	0	0.921091	0.699836	4		motif_68,motif_80,NA,NA,NA	
1637	1695	-118.041	0	0.83655	0.65285	4		motif_68,motif_80,NA,NA,NA	
712	1009	314.297	0	0.900191	0.66897	4		motif_68,motif_80,NA,NA,NA	
261	712	-304.279	0	0.832063	0.747024	4		motif_68,motif_80,NA,NA,NA	
1268	1477	2.01373	0	0.853509	0.715036	4		motif_68,motif_80,NA,NA,NA	
1101	1875	0.000305176	0	0.900205	0.781575	4	motif_68	motif_68,motif_80,NA,NA,NA	motif_68
1672	1875	-79.8455	0	0.768488	0.545631	4	motif_68	motif_68,motif_80,NA,NA,NA	motif_68
287	1009	86	0	0.861998	0.686718	4		motif_68,motif_80,NA,NA,NA	
27	515	-590.324	0	0.959279	0.874468	4		motif_68,motif_80,NA,NA,NA	
352	1016	-46.006	0	0.810517	0.52914	4		motif_68,motif_80,NA,NA,NA	
1101	1877	30.0101	0	0.805275	0.623421	4		motif_68,motif_80,NA,NA,NA	
352	1622	-118.025	0	0.886429	0.655842	4	motif_80	motif_68,motif_80,NA,NA,NA	motif_80
1754	2003	-30.0074	0	0.855191	0.643957	4		motif_68,motif_80,NA,NA,NA	
27	1016	-30.0112	0	0.860764	0.572601	4		motif_68,motif_80,NA,NA,NA	
